10 1000 56 70 56 33 53 55
20 1000 43 42 44 33 43 44
30 1000 64 48 46 33 42 41
40 1000 35 34 36 33 35 36
50 1000 35 34 36 33 35 37
60 1000 35 34 37 33 35 37
70 1000 27 28 31 33 28 30
80 1000 27 27 31 33 27 30
90 1000 27 27 30 33 28 31
100 1000 27 28 31 33 28 32
110 1000 27 27 31 33 28 32
120 1000 28 27 32 33 28 33
130 1000 21 21 26 33 22 26
140 1000 21 21 26 33 22 47
150 1000 25 24 28 34 22 28
160 1000 22 21 28 34 22 27
170 1000 21 21 27 33 22 27
180 1000 21 21 27 33 22 27
190 1000 32 30 33 36 23 28
200 1000 21 21 27 33 21 29
210 1000 41 24 33 29 22 30
220 1000 23 21 30 28 22 30
230 1000 25 24 32 28 22 31
240 1000 21 21 30 27 22 31
250 1000 17 17 25 27 17 25
260 1000 16 16 25 27 16 25
270 1000 16 16 25 27 16 25
280 1000 16 16 26 27 17 25
290 1000 16 16 26 27 16 25
300 1000 16 16 26 27 16 25
310 1000 16 16 27 27 16 25
320 1000 16 16 28 27 16 25
330 1000 16 16 26 27 16 29
340 1000 16 16 27 27 16 29
350 1000 16 16 28 27 16 29
360 1000 16 29 39 31 18 31
370 1000 16 16 29 27 16 29
380 1000 16 16 29 27 16 29
390 1000 16 16 28 27 16 29
400 1000 16 16 29 27 16 29
410 1000 16 16 32 19 16 29
420 1000 16 16 29 19 16 29
430 1000 16 16 30 19 16 29
440 1000 16 16 32 19 16 29
450 1000 16 16 32 19 16 29
460 1000 16 16 30 19 16 30
470 1000 17 17 30 19 16 29
480 1000 16 16 32 19 16 32
490 1000 16 16 33 19 16 29
500 1000 14 13 30 19 17 29
510 1000 12 11 30 19 11 24
520 1000 11 11 29 19 11 24
530 1000 11 11 32 19 12 24
540 1000 11 12 28 19 11 24
550 1000 11 11 28 20 11 24
560 1000 11 11 29 20 11 24
570 1000 12 11 27 19 11 24
580 1000 12 11 27 23 12 28
590 1000 12 12 29 19 11 26
600 1000 11 11 28 19 11 34
610 1000 12 11 31 19 11 25
620 1000 11 11 30 19 11 25
630 1000 11 11 38 20 12 24
640 1000 11 13 39 21 11 28
650 1000 12 11 29 19 12 24
660 1000 13 12 45 22 11 26
670 1000 11 12 41 20 12 24
680 1000 11 12 39 19 11 24
690 1000 12 11 39 19 11 24
700 1000 11 11 30 19 11 27
710 1000 11 11 40 20 11 24
720 1000 12 11 36 19 12 25
730 1000 11 11 35 19 11 24
740 1000 11 11 37 19 11 24
750 1000 11 11 39 19 11 53
760 1000 11 11 30 19 11 53
770 1000 11 11 36 19 11 53
780 1000 11 11 35 19 11 54
790 1000 12 11 42 19 11 59
800 1000 11 11 36 27 11 55
810 1000 11 11 36 38 11 53
